Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",73.004,73.243,73.466,74.029,72.622,74.406,74.554,74.833,74.793,75.241,74.403,73.473,73.444,73.444
Qatar,QAT,"Life expectancy at birth, total (years)",78.425,78.891,79.227,79.536,79.768,80.064,80.433,80.717,80.898,80.99,79.099,79.272,81.559,81.559
Romania,ROU,"Life expectancy at birth, total (years)",73.4585365853659,74.409756097561,74.4121951219512,75.0634146341463,74.909756097561,74.9121951219512,75.209756097561,75.209756097561,75.3585365853659,75.6073170731707,74.2536585365854,72.809756097561,75.3048780487805,75.3048780487805
Russian Federation,RUS,"Life expectancy at birth, total (years)",68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,73.0839024390244,71.3387804878049,69.900243902439,72.5456097560976,72.5456097560976
Rwanda,RWA,"Life expectancy at birth, total (years)",62.54,63.261,64.009,64.426,64.94,65.298,65.737,65.941,66.251,66.437,66.774,66.072,67.129,67.129
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",75.763,76.234,76.461,76.626,76.757,76.918,77.064,77.16,77.212,77.304,76.239,76.936,77.905,77.905
Sudan,SDN,"Life expectancy at birth, total (years)",63.016,63.246,63.792,63.678,64.269,64.659,64.78,65.445,65.681,65.876,65.614,65.267,65.578,65.578
Senegal,SEN,"Life expectancy at birth, total (years)",64.615,65.262,65.457,66.072,66.452,66.879,67.497,67.75,68.097,68.526,68.006,67.093,67.913,67.913
Singapore,SGP,"Life expectancy at birth, total (years)",81.5414634146342,81.7439024390244,81.9951219512195,82.2463414634147,82.4951219512195,82.7439024390244,82.8463414634146,83.0951219512195,83.2975609756098,83.5951219512195,83.5439024390244,83.0926829268293,82.8951219512195,82.8951219512195
Sierra Leone,SLE,"Life expectancy at birth, total (years)",53.693,54.62,55.451,56.313,56.393,57.189,58.404,58.652,59.796,60.255,59.763,60.062,60.411,60.411
El Salvador,SLV,"Life expectancy at birth, total (years)",71.848,71.859,71.831,71.771,71.746,71.814,72.025,72.311,72.555,72.559,71.061,70.748,71.475,71.475
Serbia,SRB,"Life expectancy at birth, total (years)",74.3365853658537,74.5365853658537,74.8365853658537,75.1853658536585,75.3365853658537,75.2878048780488,75.6878048780488,75.5390243902439,75.890243902439,75.9365853658537,74.4780487804878,72.780487804878,75.4821951219512,75.4821951219512
